"Renewable Electricity generation (GWh) by Region/country/area, Technology and Year"

"Region/country/area","Technology","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"World","Wind",30925.915,37722.402,52403.129,63376.345,84080.516,103210.101,129505.057,168880.094,216820.916,272029.307,342843.331,433796.205,526036.617,636786.154,712113.836,828168.461,952964.973,1131831.003,1258795.590,1412376.716,1588477.108,1838263.605
"World","Onshore wind energy",30809.031,37566.417,51961.716,62534.366,82848.113,101770.418,127824.619,166587.905,213494.822,267656.009,335328.609,422203.772,511502.112,616269.320,687455.589,791920.194,911340.760,1074950.354,1190508.725,1327739.230,1484406.626,1700649.956
"World","Offshore wind energy",116.884,155.985,441.413,841.979,1232.403,1439.683,1680.438,2292.189,3326.094,4373.298,7514.722,11592.433,14534.505,20516.834,24658.247,36248.267,41624.213,56880.649,68286.865,84637.486,104070.482,137613.649
"World","Solar photovoltaic",804.941,1136.675,1408.196,1848.899,2487.719,3808.230,5467.294,7425.807,11884.905,20077.123,32143.097,62561.003,96508.882,131716.238,184112.963,243038.856,314480.177,425960.570,550458.288,679386.506,829252.966,1020297.378
"Africa","Wind",185.094,425.249,455.162,468.361,639.094,804.174,809.559,990.876,1222.534,1483.647,2012.290,2407.884,2817.231,3499.767,4477.289,5457.131,7006.337,7152.342,7845.576,9704.169,10563.129,12337.638
"Africa","Onshore wind energy",185.094,425.249,455.162,468.361,639.094,804.174,809.559,990.876,1222.534,1483.647,2012.290,2407.884,2817.231,3499.767,4477.289,5457.131,7006.337,7152.342,7845.576,9704.169,10563.129,12337.638
"Africa","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Africa","Solar photovoltaic",14.466,18.977,21.855,24.890,26.714,31.282,39.342,49.310,63.452,91.501,189.179,300.425,389.790,560.947,1735.120,2941.501,3995.737,5970.290,7775.472,9386.319,14002.829,16183.384
"Algeria","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,19.235,19.400,19.400,10.000,10.000,8.000,11.000
"Algeria","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,19.235,19.400,19.400,10.000,10.000,8.000,11.000
"Algeria","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Algeria","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.900,13.748,204.700,373.600,521.554,544.935,665.000,642.000
"Angola","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Angola","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Angola","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Angola","Solar photovoltaic",0.000,0.140,0.140,0.140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.014,0.052,0.477,0.477,0.488,0.624,0.642,1.962,1.973,2.069
"Benin","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Benin","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Benin","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Benin","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.495,2.576,5.337,5.337,5.337,5.338,5.338,2.837
"Botswana","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Botswana","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Botswana","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Botswana","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.238,0.289,1.092,2.376,2.891,3.326,5.239,5.470,5.992,5.941,5.941,6.128
"Burkina Faso","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Burkina Faso","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Burkina Faso","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Burkina Faso","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.200,1.100,1.800,2.600,4.100,4.800,14.347,83.192,90.440,88.352,97.600
"Burundi","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Burundi","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Burundi","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Burundi","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.626,0.626,0.626,1.092,2.334,2.956,2.956,2.956,3.266,2.334
"Cabo Verde","Wind",4.549,3.749,5.662,5.366,6.430,6.450,7.441,6.869,5.510,4.661,1.992,15.605,63.030,76.006,82.560,78.813,76.932,68.318,80.231,73.795,63.932,73.784
"Cabo Verde","Onshore wind energy",4.549,3.749,5.662,5.366,6.430,6.450,7.441,6.869,5.510,4.661,1.992,15.605,63.030,76.006,82.560,78.813,76.932,68.318,80.231,73.795,63.932,73.784
"Cabo Verde","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Cabo Verde","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.105,8.956,7.464,7.253,6.647,6.208,5.637,6.610,9.121,8.985,6.591,6.884
"Cameroon","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Cameroon","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Cameroon","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Cameroon","Solar photovoltaic",0.000,0.000,0.000,0.137,0.137,0.137,0.137,0.275,0.275,0.687,1.374,3.298,3.847,4.946,7.694,10.168,12.366,15.933,19.500,19.500,19.672,19.672
"Central African Republic","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Central African Republic","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Central African Republic","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Central African Republic","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.142,0.142,0.142,0.142,0.142,0.142,0.284,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426,0.426
"Chad","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.900,8.900,8.900,8.900,8.900,8.900
"Chad","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.900,8.900,8.900,8.900,8.900,8.900
"Chad","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Chad","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.005,0.079,0.079,0.272,0.273,0.300,0.402,0.402,1.184,1.261
"Comoros","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Comoros","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Comoros","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Comoros","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Democratic Republic of the Congo","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Democratic Republic of the Congo","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Democratic Republic of the Congo","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Democratic Republic of the Congo","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.111,0.498,0.778,0.860,4.058,6.688,25.400,25.400,25.400,25.400
"Congo","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Congo","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Congo","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Congo","Solar photovoltaic",0.143,0.143,0.143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.019,0.024,0.026,0.051,0.073,0.082,0.080,0.668,0.723,0.723
"Cote d'Ivoire","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Cote d'Ivoire","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Cote d'Ivoire","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Cote d'Ivoire","Solar photovoltaic",0.000,0.000,0.000,0.200,0.200,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.600,1.400,2.700,5.600
"Djibouti","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,69.400
"Djibouti","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,69.400
"Djibouti","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Djibouti","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.500,0.500,0.600,0.600,0.600,0.600,0.600,0.600
"Egypt","Wind",93.445,191.445,225.445,226.445,389.245,545.045,573.445,647.745,859.445,960.445,1171.445,1508.445,1575.945,1272.445,1344.445,1456.445,2070.445,2212.445,2346.445,3001.445,4245.445,5269.445
"Egypt","Onshore wind energy",93.445,191.445,225.445,226.445,389.245,545.045,573.445,647.745,859.445,960.445,1171.445,1508.445,1575.945,1272.445,1344.445,1456.445,2070.445,2212.445,2346.445,3001.445,4245.445,5269.445
"Egypt","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Egypt","Solar photovoltaic",0.168,0.840,1.008,1.008,1.008,1.008,1.008,1.176,1.512,2.184,25.200,25.200,25.200,25.200,25.200,43.970,25.938,21.950,69.129,755.759,4019.510,4493.500
"Equatorial Guinea","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Equatorial Guinea","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Equatorial Guinea","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
