"Installed renewable electricity capacity (MW) by Region/country/area, Technology and Year"

"Region/country/area","Technology","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"World","Wind",16964.244,23972.666,30735.013,38670.717,47684.973,58408.316,73161.274,91543.825,115561.007,150139.750,181090.194,220249.470,267349.840,300051.920,349540.627,416421.401,467013.170,515082.306,563864.083,622779.606,733564.569,825663.023,898855.912
"World","Onshore wind energy",16897.294,23896.716,30495.063,38160.167,47089.223,57722.566,72277.524,90449.575,114118.557,148006.200,178034.844,216473.660,262015.890,292880.670,341048.857,404697.331,452666.420,496245.106,540273.683,594487.306,699195.470,771414.124,836232.712
"World","Offshore wind energy",66.950,75.950,239.950,510.550,595.750,685.750,883.750,1094.250,1442.450,2133.550,3055.350,3775.810,5333.950,7171.250,8491.770,11724.070,14346.750,18837.200,23590.400,28292.300,34369.099,54248.899,62623.200
"World","Solar photovoltaic",806.824,1092.373,1437.528,1964.854,3047.296,4543.851,6087.169,8498.375,14716.444,22825.210,40311.386,72236.635,101660.707,137474.929,176177.140,224215.377,296335.760,391279.998,486763.118,589429.339,721545.959,866026.813,1055029.774
"Africa","Wind",139.050,139.050,144.310,153.790,236.110,240.180,327.905,470.100,555.300,742.400,864.777,994.982,1127.594,1741.834,2399.398,3320.268,3831.394,4578.263,5471.553,5528.753,6514.653,7370.153,7686.653
"Africa","Onshore wind energy",139.050,139.050,144.310,153.790,236.110,240.180,327.905,470.100,555.300,742.400,864.777,994.982,1127.594,1741.834,2399.398,3320.268,3831.394,4578.263,5471.553,5528.753,6514.653,7370.153,7686.653
"Africa","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Africa","Solar photovoltaic",10.311,13.897,15.673,17.789,18.867,22.119,29.277,38.224,50.590,91.735,173.989,241.532,298.621,615.883,1510.126,1887.258,3001.349,4648.261,7109.772,8403.229,9748.274,10543.328,11414.681
"Algeria","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.200,10.200,10.200,10.200,10.000,10.000,10.000,10.000,10.000
"Algeria","Onshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.200,10.200,10.200,10.200,10.000,10.000,10.000,10.000,10.000
"Algeria","Offshore wind energy",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
"Algeria","Solar photovoltaic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.300,66.296,305.396,398.396,423.396,423.396,423.396,423.396,435.396
"Angola","Wind",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
